Product,Sales_volume(kg),Brand,Price(TL),Price(TL/Sales_volume),Quality_Score,Delivery_Time,Fav_number,Comment_Count,Store
yumurta,10.0,Dede Farm,51.99,5.2,5.0,3.0,336,0.0,Carrefour
yumurta,10.0,Pure,102.3,10.23,3.0,2.0,634,0.0,GetirBüyük
yumurta,10.0,CP,75.3,7.53,4.0,2.0,18,0.0,GetirBüyük
yumurta,10.0,Aybar,75.0,7.5,1.0,2.0,477,0.0,Kooperatif
yumurta,10.0,Sade,88.45,8.85,3.0,4.0,781,0.0,Carrefour
yumurta,10.0,Kumbasar,61.95,6.2,4.0,2.0,169,0.0,Carrefour
yumurta,10.0,Carrefour,59.9,5.99,4.0,3.0,178,0.0,Carrefour
yumurta,10.0,Bornova,66.0,6.6,3.8,2.0,792,0.0,Carrefour
yumurta,10.0,Tkk,65.0,6.5,3.0,4.0,393,0.0,Kooperatif
yumurta,10.0,Tkk,59.0,5.9,4.0,2.0,43,0.0,Kooperatif
yumurta,10.0,Varda,62.0,6.2,5.0,3.0,329,0.0,Kooperatif
yumurta,15.0,CP,72.5,4.83,5.0,2.0,900,0.0,GetirBüyük
yumurta,15.0,Seltav,72.5,4.83,1.0,2.0,443,0.0,Kooperatif
yumurta,15.0,Güres,72.5,4.83,3.0,2.0,17,0.0,Migros
yumurta,15.0,Coşkun Organik,112.95,7.53,5.0,4.0,873,0.0,Migros
yumurta,15.0,Ali Babanın,112.9,7.53,5.0,2.0,570,0.0,Carrefour
yumurta,15.0,Bornova Çiçekliköy,96.35,6.42,4.0,3.0,715,0.0,Carrefour
yumurta,15.0,Nurtav,72.5,4.83,4.0,2.0,227,0.0,Kooperatif
yumurta,15.0,Herögün,72.5,4.83,2.0,4.0,240,0.0,Kooperatif
yumurta,15.0,Yiltav,72.5,4.83,4.0,2.0,0,0.0,Kooperatif
yumurta,15.0,Kozlu,72.5,4.83,5.0,3.0,0,0.0,Kooperatif
